flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
9.0,7.0,7.0,3.0,0.0,0.459,0.113,0.024,0.113,0.122,0.114
8.0,7.0,8.0,2.0,0.0,0.462,0.114,0.024,0.113,0.121,0.114
9.0,7.0,8.0,3.0,0.0,0.449,0.112,0.023,0.113,0.12,0.113
9.0,7.0,7.0,3.0,0.0,0.459,0.112,0.023,0.113,0.121,0.112
8.0,7.0,8.0,2.0,0.0,0.468,0.112,0.024,0.113,0.121,0.111
9.0,7.0,7.0,3.0,0.0,0.452,0.109,0.024,0.112,0.12,0.109
9.0,7.0,8.0,2.0,0.0,0.464,0.112,0.024,0.111,0.12,0.111
8.0,7.0,7.0,3.0,0.0,0.457,0.111,0.024,0.112,0.12,0.11
9.0,7.0,8.0,2.0,0.0,0.452,0.109,0.025,0.112,0.121,0.112
8.0,7.0,7.0,3.0,0.0,0.455,0.111,0.025,0.111,0.121,0.11
9.0,7.0,8.0,2.0,0.0,0.459,0.111,0.025,0.111,0.121,0.109
8.0,8.0,8.0,3.0,0.0,0.455,0.11,0.023,0.111,0.119,0.108
9.0,7.0,7.0,3.0,0.0,0.458,0.11,0.023,0.111,0.12,0.11
9.0,7.0,8.0,2.0,0.0,0.453,0.109,0.024,0.11,0.12,0.111
8.0,7.0,7.0,3.0,0.0,0.453,0.108,0.023,0.11,0.119,0.109
9.0,7.0,8.0,2.0,0.0,0.448,0.107,0.022,0.109,0.117,0.104
9.0,7.0,6.0,2.0,0.0,0.454,0.128,0.022,0.129,0.136,0.13
8.0,7.0,6.0,1.0,0.0,0.466,0.129,0.023,0.131,0.138,0.129
9.0,7.0,6.0,1.0,0.0,0.462,0.129,0.023,0.13,0.136,0.13
8.0,7.0,6.0,2.0,0.0,0.461,0.129,0.024,0.129,0.139,0.13
9.0,6.0,5.0,1.0,0.0,0.458,0.128,0.024,0.13,0.137,0.128
8.0,7.0,6.0,1.0,0.0,0.456,0.129,0.023,0.129,0.138,0.13
9.0,7.0,5.0,1.0,0.0,0.468,0.13,0.023,0.131,0.139,0.13
8.0,7.0,6.0,2.0,0.0,0.463,0.13,0.023,0.131,0.138,0.129
8.0,7.0,6.0,1.0,0.0,0.46,0.129,0.024,0.13,0.138,0.13
8.0,7.0,5.0,1.0,0.0,0.471,0.13,0.023,0.131,0.138,0.131
9.0,7.0,6.0,2.0,0.0,0.459,0.13,0.024,0.13,0.138,0.132
8.0,6.0,5.0,1.0,0.0,0.465,0.13,0.024,0.132,0.141,0.132
9.0,7.0,6.0,1.0,0.0,0.458,0.129,0.023,0.133,0.141,0.132
8.0,7.0,5.0,2.0,0.0,0.463,0.131,0.023,0.131,0.14,0.131
8.0,7.0,6.0,1.0,0.0,0.461,0.131,0.024,0.132,0.139,0.132
9.0,7.0,5.0,1.0,0.0,0.459,0.129,0.024,0.132,0.138,0.133
8.0,7.0,5.0,1.0,0.0,0.45,0.13,0.024,0.132,0.14,0.13
9.0,7.0,6.0,2.0,0.0,0.464,0.113,0.024,0.114,0.121,0.111
8.0,6.0,6.0,1.0,0.0,0.461,0.11,0.024,0.111,0.119,0.111
9.0,7.0,6.0,1.0,0.0,0.457,0.109,0.023,0.11,0.118,0.105
8.0,7.0,6.0,1.0,0.0,0.461,0.109,0.023,0.111,0.12,0.11
9.0,7.0,6.0,1.0,0.0,0.459,0.109,0.024,0.109,0.118,0.104
8.0,7.0,6.0,1.0,0.0,0.459,0.109,0.024,0.11,0.117,0.106
9.0,7.0,6.0,1.0,0.0,0.452,0.106,0.022,0.11,0.118,0.104
8.0,7.0,6.0,2.0,0.0,0.461,0.108,0.023,0.108,0.118,0.107
9.0,7.0,6.0,1.0,0.0,0.462,0.104,0.023,0.103,0.114,0.099
8.0,6.0,5.0,1.0,0.0,0.462,0.104,0.022,0.105,0.114,0.101
9.0,7.0,6.0,1.0,0.0,0.456,0.103,0.023,0.104,0.113,0.098
8.0,7.0,6.0,1.0,0.0,0.462,0.103,0.022,0.105,0.114,0.101
9.0,7.0,6.0,1.0,0.0,0.46,0.104,0.024,0.104,0.112,0.1
8.0,6.0,6.0,2.0,0.0,0.46,0.104,0.022,0.104,0.113,0.1
8.0,7.0,6.0,1.0,0.0,0.468,0.104,0.022,0.104,0.113,0.1
8.0,7.0,6.0,1.0,0.0,0.455,0.103,0.023,0.104,0.112,0.1
9.0,6.0,5.0,1.0,0.0,0.457,0.103,0.023,0.104,0.112,0.099
8.0,7.0,6.0,1.0,0.0,0.46,0.102,0.022,0.097,0.109,0.095
9.0,7.0,6.0,2.0,0.0,0.472,0.097,0.023,0.094,0.107,0.092
8.0,7.0,6.0,2.0,0.0,0.451,0.093,0.023,0.094,0.106,0.094
8.0,6.0,6.0,3.0,0.0,0.455,0.09,0.023,0.092,0.106,0.092
8.0,7.0,6.0,2.0,0.0,0.464,0.092,0.022,0.093,0.104,0.092
9.0,7.0,6.0,2.0,0.0,0.458,0.093,0.022,0.092,0.105,0.091
8.0,7.0,6.0,2.0,0.0,0.466,0.091,0.023,0.092,0.104,0.092
9.0,6.0,6.0,2.0,0.0,0.453,0.09,0.022,0.091,0.105,0.092
8.0,7.0,6.0,2.0,0.0,0.461,0.09,0.022,0.094,0.106,0.092
8.0,7.0,6.0,3.0,0.0,0.464,0.09,0.023,0.093,0.105,0.091
9.0,6.0,6.0,2.0,0.0,0.451,0.089,0.022,0.092,0.105,0.091
8.0,7.0,6.0,2.0,0.0,0.47,0.091,0.022,0.092,0.104,0.092
8.0,7.0,5.0,2.0,0.0,0.465,0.09,0.023,0.092,0.104,0.093
8.0,6.0,6.0,2.0,0.0,0.459,0.088,0.022,0.091,0.103,0.091
9.0,7.0,6.0,2.0,0.0,0.469,0.09,0.022,0.092,0.105,0.09
8.0,7.0,6.0,3.0,0.0,0.476,0.092,0.023,0.091,0.104,0.091
8.0,6.0,6.0,2.0,0.0,0.457,0.09,0.023,0.092,0.104,0.091
8.0,7.0,6.0,2.0,0.0,0.473,0.09,0.022,0.092,0.105,0.092
9.0,7.0,6.0,2.0,0.0,0.462,0.08,0.023,0.082,0.093,0.081
8.0,6.0,6.0,2.0,0.0,0.458,0.078,0.022,0.081,0.092,0.08
8.0,7.0,6.0,2.0,0.0,0.465,0.079,0.022,0.08,0.091,0.078
8.0,7.0,6.0,2.0,0.0,0.467,0.079,0.022,0.08,0.091,0.078
9.0,6.0,7.0,2.0,0.0,0.461,0.077,0.022,0.08,0.091,0.078
8.0,7.0,6.0,2.0,0.0,0.468,0.078,0.022,0.079,0.092,0.079
8.0,7.0,6.0,2.0,0.0,0.454,0.077,0.022,0.079,0.089,0.079
9.0,7.0,6.0,2.0,0.0,0.467,0.076,0.022,0.078,0.09,0.078
8.0,6.0,6.0,2.0,0.0,0.464,0.078,0.022,0.079,0.09,0.079
8.0,7.0,6.0,2.0,0.0,0.464,0.078,0.022,0.079,0.09,0.079
9.0,7.0,6.0,2.0,0.0,0.457,0.077,0.022,0.078,0.089,0.078
