flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
8.0,8.0,0.0,0.0,8.0,0.451,-0.031,0.012,-0.028,-0.021,-0.029
9.0,7.0,0.0,0.0,7.0,0.453,-0.031,0.012,-0.026,-0.022,-0.031
9.0,8.0,0.0,0.0,8.0,0.44,-0.033,0.013,-0.027,-0.02,-0.029
9.0,7.0,0.0,0.0,8.0,0.443,-0.032,0.013,-0.027,-0.02,-0.031
9.0,8.0,0.0,0.0,7.0,0.449,-0.031,0.013,-0.027,-0.02,-0.028
9.0,7.0,0.0,0.0,8.0,0.448,-0.033,0.013,-0.025,-0.019,-0.027
8.0,8.0,0.0,0.0,7.0,0.44,-0.032,0.013,-0.024,-0.02,-0.028
9.0,7.0,0.0,0.0,8.0,0.448,-0.031,0.012,-0.026,-0.021,-0.031
9.0,7.0,0.0,0.0,8.0,0.433,-0.03,0.013,-0.025,-0.02,-0.03
9.0,8.0,0.0,0.0,7.0,0.443,-0.032,0.013,-0.025,-0.019,-0.026
9.0,7.0,0.0,0.0,8.0,0.462,-0.033,0.014,-0.026,-0.019,-0.027
9.0,7.0,0.0,0.0,8.0,0.455,-0.032,0.013,-0.026,-0.019,-0.031
8.0,8.0,0.0,0.0,7.0,0.451,-0.03,0.013,-0.026,-0.02,-0.029
9.0,7.0,0.0,0.0,8.0,0.437,-0.03,0.012,-0.027,-0.022,-0.029
9.0,7.0,0.0,0.0,7.0,0.433,-0.031,0.013,-0.027,-0.02,-0.031
8.0,8.0,0.0,0.0,8.0,0.437,-0.03,0.014,-0.026,-0.019,-0.028
9.0,7.0,0.0,0.0,8.0,0.45,-0.03,0.013,-0.026,-0.02,-0.029
9.0,7.0,0.0,0.0,7.0,0.449,-0.031,0.013,-0.027,-0.019,-0.03
9.0,8.0,0.0,0.0,8.0,0.438,-0.03,0.013,-0.026,-0.021,-0.029
9.0,8.0,0.0,0.0,7.0,0.44,-0.03,0.014,-0.026,-0.019,-0.027
8.0,7.0,0.0,0.0,8.0,0.441,-0.031,0.013,-0.026,-0.019,-0.029
9.0,7.0,0.0,0.0,7.0,0.455,-0.031,0.013,-0.026,-0.019,-0.03
9.0,8.0,0.0,0.0,8.0,0.453,-0.03,0.015,-0.026,-0.019,-0.027
8.0,7.0,0.0,0.0,8.0,0.446,-0.03,0.014,-0.025,-0.021,-0.026
9.0,7.0,0.0,0.0,7.0,0.443,-0.03,0.014,-0.024,-0.018,-0.029
9.0,8.0,0.0,0.0,8.0,0.44,-0.031,0.015,-0.025,-0.018,-0.029
9.0,7.0,0.0,0.0,7.0,0.431,-0.032,0.015,-0.026,-0.019,-0.029
9.0,8.0,0.0,0.0,8.0,0.44,-0.029,0.015,-0.024,-0.017,-0.027
9.0,7.0,0.0,0.0,7.0,0.443,-0.03,0.014,-0.026,-0.018,-0.029
8.0,7.0,0.0,0.0,8.0,0.434,-0.031,0.015,-0.025,-0.018,-0.025
9.0,8.0,0.0,0.0,8.0,0.441,-0.029,0.014,-0.026,-0.02,-0.026
9.0,7.0,0.0,0.0,7.0,0.44,-0.031,0.014,-0.026,-0.019,-0.026
8.0,7.0,0.0,0.0,7.0,0.456,-0.031,0.014,-0.025,-0.018,-0.029
9.0,8.0,0.0,0.0,8.0,0.458,-0.029,0.016,-0.026,-0.018,-0.027
9.0,7.0,0.0,0.0,8.0,0.452,-0.031,0.015,-0.025,-0.015,-0.025
8.0,7.0,0.0,0.0,7.0,0.429,-0.03,0.015,-0.023,-0.018,-0.025
9.0,8.0,0.0,0.0,8.0,0.44,-0.03,0.014,-0.024,-0.019,-0.027
9.0,7.0,0.0,0.0,7.0,0.453,-0.029,0.014,-0.025,-0.019,-0.027
