id,timestamp,sensors.flow0.value,sensors.flow1.value,sensors.flow2.value,sensors.flow3.value,sensors.flow4.value,sensors.pressure0.value,sensors.pressure1.value,sensors.pressure2.value,sensors.pressure3.value,sensors.pressure4.value,sensors.pressure5.value,valves.bigvalve0.value,valves.bigvalve1.value,valves.valve0.value,valves.valve1.value,valves.valve2.value,valves.valve3.value,valves.valve4.value,valves.change_time
0,1765188340.3797476,1.6433934123664424,1.1298311117233872,1.232543030970968,0.41084753211176467,0.0,2.864,2.376,1.1320000000000001,2.384,2.348,2.352,1,1,1,1,1,1,1,336.64697670936584
1,1765188341.350385,1.6433934123664424,1.1298311117233872,1.232543030970968,0.41084753211176467,0.0,2.408,1.68,1.108,1.736,1.68,1.716,1,1,0,0,0,0,0,0.0
2,1765188342.411553,1.6433934123664424,1.1298311117233872,1.232543030970968,0.41084753211176467,0.0,2.444,1.688,1.1320000000000001,1.704,1.676,1.692,1,1,0,0,0,0,0,0.9740414619445801
3,1765188343.6156204,2.1650946248986584,1.5364587142231942,1.6761326262702958,0.6983874220996471,0.0,2.472,1.696,1.1400000000000001,1.724,1.672,1.684,1,1,0,0,0,0,0,2.0323803424835205
4,1765188344.788393,2.1650946248986584,1.5364587142231942,1.6761326262702958,0.6983874220996471,0.0,2.444,1.7,1.1440000000000001,1.72,1.672,1.684,1,1,0,0,0,0,0,3.2359304428100586
5,1765188345.8920827,2.454292512140001,1.5778134429893131,1.840785673994968,0.876564518731825,0.0,2.464,1.708,1.1440000000000001,1.724,1.676,1.692,1,1,0,0,0,0,0,4.415498495101929
6,1765188347.1796596,2.454292512140001,1.5778134429893131,1.840785673994968,0.876564518731825,0.0,2.444,1.704,1.1400000000000001,1.72,1.668,1.68,1,1,0,0,0,0,0,5.5153467655181885
7,1765188348.4504976,2.526659092847354,1.6554229208226847,1.8296797894850407,0.8712780014768359,0.0,2.44,1.696,1.1360000000000001,1.708,1.672,1.676,1,1,0,0,0,0,0,6.801905870437622
8,1765188349.5405803,2.526659092847354,1.6554229208226847,1.8296797894850407,0.8712780014768359,0.0,2.444,1.692,1.1360000000000001,1.716,1.668,1.68,1,1,0,0,0,0,0,8.075021266937256
9,1765188350.5509536,2.470878600877488,1.6766686379760363,1.76491560342627,0.8824581581883943,0.0,2.4,1.688,1.1280000000000001,1.688,1.6560000000000001,1.6640000000000001,0,1,0,0,0,0,0,0.0
10,1765188351.3363323,2.470878600877488,1.6766686379760363,1.76491560342627,0.8824581581883943,0.0,2.416,1.692,1.1400000000000001,1.72,1.676,1.672,0,1,0,0,0,0,0,1.0119311809539795
11,1765188352.4203131,2.470878600877488,1.6766686379760363,1.76491560342627,0.8824581581883943,0.0,2.444,1.704,1.1360000000000001,1.724,1.68,1.68,0,1,0,0,0,0,0,1.7994859218597412
12,1765188353.448701,2.456054897669799,1.6614498628127874,1.8059234653405076,0.8668430483812993,0.0,2.408,1.688,1.1320000000000001,1.704,1.6640000000000001,1.668,0,1,0,0,0,0,0,2.883392572402954
13,1765188354.2384331,2.456054897669799,1.6614498628127874,1.8059234653405076,0.8668430483812993,0.0,2.44,1.704,1.1360000000000001,1.716,1.668,1.672,0,1,0,0,0,0,0,3.9167706966400146
14,1765188355.3684402,2.456054897669799,1.6614498628127874,1.8059234653405076,0.8668430483812993,0.0,2.416,1.696,1.1400000000000001,1.696,1.6640000000000001,1.672,0,1,0,0,0,0,0,4.702535152435303
15,1765188356.329607,2.477094468060659,1.6985785135105367,1.840127170090482,0.9200636595653876,0.0,2.412,1.7,1.1360000000000001,1.716,1.676,1.68,0,1,0,0,0,0,0,5.826749563217163
16,1765188357.1155605,2.477094468060659,1.6985785135105367,1.840127170090482,0.9200636595653876,0.0,2.424,1.708,1.1440000000000001,1.728,1.676,1.68,0,1,0,0,0,0,0,6.791254758834839
17,1765188358.2597976,2.477094468060659,1.6985785135105367,1.840127170090482,0.9200636595653876,0.0,2.444,1.704,1.1360000000000001,1.732,1.684,1.676,0,1,0,0,0,0,0,7.579482316970825
18,1765188359.1948411,2.5206582496553995,1.656431335366773,1.8004683976119729,0.8642246883968463,0.0,2.44,1.7,1.1360000000000001,1.724,1.672,1.676,0,1,0,0,0,0,0,8.720111846923828
19,1765188360.0324466,2.5206582496553995,1.656431335366773,1.8004683976119729,0.8642246883968463,0.0,2.46,1.712,1.1480000000000001,1.712,1.668,1.672,0,1,0,0,0,0,0,9.660345315933228
20,1765188361.1681902,2.5206582496553995,1.656431335366773,1.8004683976119729,0.8642246883968463,0.0,2.408,1.692,1.1440000000000001,1.7,1.6640000000000001,1.6640000000000001,0,1,0,0,0,0,0,10.497153282165527
21,1765188362.0666203,2.4364448953819964,1.648183717077293,1.7198437376474638,0.859922080386595,0.0,2.424,1.696,1.1320000000000001,1.712,1.668,1.668,0,1,0,0,0,0,0,11.62706708908081
22,1765188362.9242482,2.4364448953819964,1.648183717077293,1.7198437376474638,0.859922080386595,0.0,2.452,1.704,1.1440000000000001,1.724,1.676,1.672,0,1,0,0,0,0,0,12.529378175735474
23,1765188364.0005891,2.4364448953819964,1.648183717077293,1.7198437376474638,0.859922080386595,0.0,2.432,1.692,1.1320000000000001,1.7,1.668,1.668,0,1,0,0,0,0,0,13.383128643035889
24,1765188364.7051375,2.5008725658261444,1.6917667357059212,1.838877041428214,0.8826607569860461,0.0,2.452,1.708,1.1400000000000001,1.716,1.676,1.668,0,1,0,0,0,0,0,14.459248781204224
