sensor.flow0,sensor.flow1,sensor.flow2,sensor.flow3,sensor.flow4,sensor.pressure0,sensor.pressure1,sensor.pressure2,sensor.pressure3,sensor.pressure4,sensor.pressure5,valve.bigvalve0,valve.bigvalve1,valve.valve0,valve.valve1,valve.valve2,valve.valve3,valve.valve4,last_valve_change
1.6433934123664424,1.1298311117233872,1.232543030970968,0.41084753211176467,0.0,3.17904,2.63736,1.0640800000000001,2.64624,2.60628,2.5283999999999995,1,1,1,1,1,1,1,336.64697670936584
1.6433934123664424,1.1298311117233872,1.232543030970968,0.41084753211176467,0.0,2.67288,1.8648,1.04152,1.9269600000000002,1.8648,1.8446999999999998,1,1,0,0,0,0,0,0.0
1.6433934123664424,1.1298311117233872,1.232543030970968,0.41084753211176467,0.0,2.7128400000000004,1.87368,1.0640800000000001,1.89144,1.86036,1.8189,1,1,0,0,0,0,0,0.9740414619445801
2.1650946248986584,1.5364587142231942,1.6761326262702958,0.6983874220996471,0.0,2.74392,1.88256,1.0716,1.9136400000000002,1.85592,1.8102999999999998,1,1,0,0,0,0,0,2.0323803424835205
2.1650946248986584,1.5364587142231942,1.6761326262702958,0.6983874220996471,0.0,2.7128400000000004,1.887,1.07536,1.9092000000000002,1.85592,1.8102999999999998,1,1,0,0,0,0,0,3.2359304428100586
2.454292512140001,1.5778134429893131,1.840785673994968,0.876564518731825,0.0,2.73504,1.8958800000000002,1.07536,1.9136400000000002,1.86036,1.8189,1,1,0,0,0,0,0,4.415498495101929
2.454292512140001,1.5778134429893131,1.840785673994968,0.876564518731825,0.0,2.7128400000000004,1.89144,1.0716,1.9092000000000002,1.85148,1.8059999999999998,1,1,0,0,0,0,0,5.5153467655181885
2.526659092847354,1.6554229208226847,1.8296797894850407,0.8712780014768359,0.0,2.7084,1.88256,1.0678400000000001,1.8958800000000002,1.85592,1.8016999999999999,1,1,0,0,0,0,0,6.801905870437622
2.526659092847354,1.6554229208226847,1.8296797894850407,0.8712780014768359,0.0,2.7128400000000004,1.87812,1.0678400000000001,1.9047600000000002,1.85148,1.8059999999999998,1,1,0,0,0,0,0,8.075021266937256
2.470878600877488,1.6766686379760363,1.76491560342627,0.8824581581883943,0.0,2.664,1.87368,1.0603200000000002,1.87368,1.8381600000000002,1.7888000000000002,0,1,0,0,0,0,0,0.0
2.470878600877488,1.6766686379760363,1.76491560342627,0.8824581581883943,0.0,2.68176,1.87812,1.0716,1.9092000000000002,1.86036,1.7973999999999999,0,1,0,0,0,0,0,1.0119311809539795
